Scaffold200	NW_012224601.1
Scaffold201	NW_012224602.1
Scaffold202	NW_012224603.1
Scaffold203	NW_012224604.1
Scaffold204	NW_012224605.1
Scaffold205	NW_012224606.1
Scaffold206	NW_012224607.1
Scaffold207	NW_012224608.1
Scaffold208	NW_012224609.1
Scaffold209	NW_012224610.1
Scaffold210	NW_012224611.1
Scaffold211	NW_012224612.1
Scaffold212	NW_012224613.1
Scaffold213	NW_012224614.1
Scaffold214	NW_012224615.1
Scaffold215	NW_012224616.1
Scaffold216	NW_012224617.1
Scaffold217	NW_012224618.1
Scaffold218	NW_012224619.1
Scaffold219	NW_012224620.1
Scaffold220	NW_012224621.1
Scaffold221	NW_012224622.1
Scaffold222	NW_012224623.1
Scaffold223	NW_012224624.1
Scaffold224	NW_012224625.1
Scaffold225	NW_012224626.1
Scaffold226	NW_012224627.1
Scaffold227	NW_012224628.1
Scaffold228	NW_012224629.1
Scaffold229	NW_012224630.1
Scaffold230	NW_012224631.1
Scaffold231	NW_012224632.1
Scaffold232	NW_012224633.1
Scaffold233	NW_012224634.1
Scaffold234	NW_012224635.1
Scaffold235	NW_012224636.1
Scaffold236	NW_012224637.1
Scaffold237	NW_012224638.1
Scaffold238	NW_012224639.1
Scaffold239	NW_012224640.1
Scaffold240	NW_012224641.1
Scaffold241	NW_012224642.1
Scaffold242	NW_012224643.1
Scaffold243	NW_012224644.1
Scaffold244	NW_012224645.1
Scaffold245	NW_012224646.1
Scaffold246	NW_012224647.1
Scaffold247	NW_012224648.1
Scaffold248	NW_012224649.1
Scaffold249	NW_012224650.1
Scaffold250	NW_012224651.1
Scaffold251	NW_012224652.1
Scaffold252	NW_012224653.1
Scaffold253	NW_012224654.1
Scaffold254	NW_012224655.1
Scaffold255	NW_012224656.1
Scaffold256	NW_012224657.1
Scaffold257	NW_012224658.1
Scaffold258	NW_012224659.1
Scaffold259	NW_012224660.1
Scaffold260	NW_012224661.1
Scaffold261	NW_012224662.1
Scaffold262	NW_012224663.1
Scaffold263	NW_012224664.1
Scaffold264	NW_012224665.1
Scaffold265	NW_012224666.1
Scaffold266	NW_012224667.1
Scaffold267	NW_012224668.1
Scaffold268	NW_012224669.1
Scaffold269	NW_012224670.1
Scaffold270	NW_012224671.1
Scaffold271	NW_012224672.1
Scaffold272	NW_012224673.1
Scaffold273	NW_012224674.1
Scaffold274	NW_012224675.1
Scaffold275	NW_012224676.1
Scaffold276	NW_012224677.1
Scaffold277	NW_012224678.1
Scaffold278	NW_012224679.1
Scaffold279	NW_012224680.1
Scaffold280	NW_012224681.1
Scaffold281	NW_012224682.1
Scaffold282	NW_012224683.1
Scaffold283	NW_012224684.1
Scaffold284	NW_012224685.1
Scaffold285	NW_012224686.1
Scaffold286	NW_012224687.1
Scaffold287	NW_012224688.1
Scaffold288	NW_012224689.1
Scaffold289	NW_012224690.1
Scaffold290	NW_012224691.1
Scaffold291	NW_012224692.1
Scaffold292	NW_012224693.1
Scaffold293	NW_012224694.1
Scaffold294	NW_012224695.1
Scaffold295	NW_012224696.1
Scaffold296	NW_012224697.1
Scaffold297	NW_012224698.1
Scaffold298	NW_012224699.1
Scaffold299	NW_012224700.1
Scaffold300	NW_012224701.1
Scaffold301	NW_012224702.1
Scaffold302	NW_012224703.1
Scaffold303	NW_012224704.1
Scaffold304	NW_012224705.1
Scaffold305	NW_012224706.1
Scaffold306	NW_012224707.1
Scaffold307	NW_012224708.1
Scaffold308	NW_012224709.1
Scaffold309	NW_012224710.1
Scaffold310	NW_012224711.1
Scaffold311	NW_012224712.1
Scaffold312	NW_012224713.1
Scaffold313	NW_012224714.1
Scaffold314	NW_012224715.1
Scaffold315	NW_012224716.1
Scaffold316	NW_012224717.1
Scaffold317	NW_012224718.1
Scaffold318	NW_012224719.1
Scaffold319	NW_012224720.1
Scaffold320	NW_012224721.1
Scaffold321	NW_012224722.1
Scaffold322	NW_012224723.1
Scaffold323	NW_012224724.1
Scaffold324	NW_012224725.1
Scaffold325	NW_012224726.1
Scaffold326	NW_012224727.1
Scaffold327	NW_012224728.1
Scaffold328	NW_012224729.1
Scaffold329	NW_012224730.1
Scaffold330	NW_012224731.1
Scaffold331	NW_012224732.1
Scaffold332	NW_012224733.1
Scaffold333	NW_012224734.1
Scaffold334	NW_012224735.1
Scaffold335	NW_012224736.1
Scaffold336	NW_012224737.1
Scaffold337	NW_012224738.1
Scaffold338	NW_012224739.1
Scaffold339	NW_012224740.1
Scaffold340	NW_012224741.1
Scaffold341	NW_012224742.1
Scaffold342	NW_012224743.1
Scaffold343	NW_012224744.1
Scaffold344	NW_012224745.1
Scaffold345	NW_012224746.1
Scaffold346	NW_012224747.1
Scaffold347	NW_012224748.1
Scaffold348	NW_012224749.1
Scaffold349	NW_012224750.1
Scaffold350	NW_012224751.1
Scaffold351	NW_012224752.1
Scaffold352	NW_012224753.1
Scaffold353	NW_012224754.1
Scaffold354	NW_012224755.1
Scaffold355	NW_012224756.1
Scaffold356	NW_012224757.1
Scaffold357	NW_012224758.1
Scaffold358	NW_012224759.1
Scaffold359	NW_012224760.1
Scaffold360	NW_012224761.1
Scaffold361	NW_012224762.1
Scaffold362	NW_012224763.1
Scaffold363	NW_012224764.1
Scaffold364	NW_012224765.1
Scaffold365	NW_012224766.1
Scaffold366	NW_012224767.1
Scaffold367	NW_012224768.1
Scaffold368	NW_012224769.1
Scaffold369	NW_012224770.1
Scaffold370	NW_012224771.1
Scaffold371	NW_012224772.1
Scaffold372	NW_012224773.1
Scaffold373	NW_012224774.1
Scaffold374	NW_012224775.1
Scaffold375	NW_012224776.1
Scaffold376	NW_012224777.1
Scaffold377	NW_012224778.1
Scaffold378	NW_012224779.1
Scaffold379	NW_012224780.1
Scaffold380	NW_012224781.1
Scaffold381	NW_012224782.1
Scaffold382	NW_012224783.1
Scaffold383	NW_012224784.1
Scaffold384	NW_012224785.1
Scaffold385	NW_012224786.1
Scaffold386	NW_012224787.1
Scaffold387	NW_012224788.1
Scaffold388	NW_012224789.1
Scaffold389	NW_012224790.1
Scaffold390	NW_012224791.1
Scaffold391	NW_012224792.1
Scaffold392	NW_012224793.1
Scaffold393	NW_012224794.1
Scaffold394	NW_012224795.1
Scaffold395	NW_012224796.1
Scaffold396	NW_012224797.1
Scaffold397	NW_012224798.1
Scaffold398	NW_012224799.1
Scaffold399	NW_012224800.1
Scaffold400	NW_012224801.1
Scaffold401	NW_012224802.1
Scaffold402	NW_012224803.1
Scaffold403	NW_012224804.1
Scaffold404	NW_012224805.1
Scaffold405	NW_012224806.1
Scaffold406	NW_012224807.1
Scaffold407	NW_012224808.1
Scaffold408	NW_012224809.1
Scaffold409	NW_012224810.1
Scaffold410	NW_012224811.1
Scaffold411	NW_012224812.1
Scaffold412	NW_012224813.1
Scaffold413	NW_012224814.1
Scaffold414	NW_012224815.1
Scaffold415	NW_012224816.1
Scaffold416	NW_012224817.1
Scaffold417	NW_012224818.1
Scaffold418	NW_012224819.1
Scaffold419	NW_012224820.1
Scaffold420	NW_012224821.1
Scaffold421	NW_012224822.1
Scaffold422	NW_012224823.1
Scaffold423	NW_012224824.1
Scaffold424	NW_012224825.1
Scaffold425	NW_012224826.1
Scaffold426	NW_012224827.1
Scaffold427	NW_012224828.1
Scaffold428	NW_012224829.1
Scaffold429	NW_012224830.1
Scaffold430	NW_012224831.1
Scaffold431	NW_012224832.1
Scaffold432	NW_012224833.1
Scaffold433	NW_012224834.1
Scaffold434	NW_012224835.1
Scaffold435	NW_012224836.1
Scaffold436	NW_012224837.1
Scaffold437	NW_012224838.1
Scaffold438	NW_012224839.1
Scaffold439	NW_012224840.1
Scaffold440	NW_012224841.1
Scaffold441	NW_012224842.1
Scaffold442	NW_012224843.1
Scaffold443	NW_012224844.1
Scaffold444	NW_012224845.1
Scaffold445	NW_012224846.1
Scaffold446	NW_012224847.1
Scaffold447	NW_012224848.1
Scaffold448	NW_012224849.1
Scaffold449	NW_012224850.1
Scaffold450	NW_012224851.1
Scaffold451	NW_012224852.1
Scaffold452	NW_012224853.1
Scaffold453	NW_012224854.1
Scaffold454	NW_012224855.1
Scaffold455	NW_012224856.1
Scaffold456	NW_012224857.1
Scaffold457	NW_012224858.1
Scaffold458	NW_012224859.1
Scaffold459	NW_012224860.1
Scaffold460	NW_012224861.1
Scaffold461	NW_012224862.1
Scaffold462	NW_012224863.1
Scaffold463	NW_012224864.1
Scaffold464	NW_012224865.1
Scaffold465	NW_012224866.1
Scaffold466	NW_012224867.1
Scaffold467	NW_012224868.1
Scaffold468	NW_012224869.1
Scaffold469	NW_012224870.1
Scaffold470	NW_012224871.1
Scaffold471	NW_012224872.1
Scaffold472	NW_012224873.1
Scaffold473	NW_012224874.1
Scaffold474	NW_012224875.1
Scaffold475	NW_012224876.1
Scaffold476	NW_012224877.1
Scaffold477	NW_012224878.1
Scaffold478	NW_012224879.1
Scaffold479	NW_012224880.1
Scaffold480	NW_012224881.1
Scaffold481	NW_012224882.1
Scaffold482	NW_012224883.1
Scaffold483	NW_012224884.1
Scaffold484	NW_012224885.1
Scaffold485	NW_012224886.1
Scaffold486	NW_012224887.1
Scaffold487	NW_012224888.1
Scaffold488	NW_012224889.1
Scaffold489	NW_012224890.1
Scaffold490	NW_012224891.1
Scaffold491	NW_012224892.1
Scaffold492	NW_012224893.1
Scaffold493	NW_012224894.1
Scaffold494	NW_012224895.1
Scaffold495	NW_012224896.1
Scaffold496	NW_012224897.1
Scaffold497	NW_012224898.1
